ID,Bucket,Criterion,What pass requires,Notes,Conditional,Source
O4,O — Output / Formatting,Next steps are actionable and differentiated,Each suggested next step names a specific action rather than 'reteach' or 'move on'. Different response patterns lead to meaningfully different next steps; no two rows route to the same place.,,,artifacts
O5,O — Output / Formatting,CFU is brief,"The total number of items is between 1 and 3 inclusive, counted the same way in both files.",,,artifacts
O6,O — Output / Formatting,Student handout carries no teacher-facing content,"The student file contains only item prompts and answer choices (or response space) plus a name/date line. No meta block, no correct-answer marker or emphasis on the correct choice, no misconception reference, and no next-step language. Pass requires that the file could be handed to a student with no edits.",,,artifacts
O7,O — Output / Formatting,Item text identical across the two files,"Item prompts and answer choices appear in the teacher guide with the same wording and the same choice order as in the student handout, so the teacher sees exactly what the student saw.","N/A if only one file was produced, which already fails O6 and the artifacts_count scorer.",,artifacts
O8,O — Output / Formatting,Response patterns describe observable behavior,"Each distractor row describes what the student does — a specific observable action, what they write, draw, circle, or say — rather than only an inferential label.",,,artifacts
O9,O — Output / Formatting,Interpretation guide is LLM-scorable,Response patterns are specific enough that an LLM could identify them in student work without domain expertise. Each pattern references at least one observable feature.,O8 asks whether a row describes observable behaviour; this asks whether it is specific enough to identify in real student work without domain expertise.,,artifacts
O11,O — Output / Formatting,No third-party source attribution,"No curriculum name, publisher, or research-dataset name appears anywhere in either file or in any chat message. Neither file states where its data came from at all.",Scored on the chat as well as the files: the guardrail names chat explicitly.,,both
M1,M — Model Scaffolding,Asks for grade when it isn't given,"In some turn before the standard is grounded, the model asks the teacher for the grade level. Pass = a clear question identifying grade as the missing input, asked before any item is designed. Fail = a grade is assumed and items are built without ever asking.",,grade-unknown,chat
M2,M — Model Scaffolding,States the focus and stops for confirmation,"Before designing any item, the model states in chat which learning component it selected, gives a rationale, and asks the teacher to confirm or redirect — then stops and waits. Pass = the focus and rationale are both stated and the turn ends on that question. Fail = no focus stated, no rationale, no question, or the model presents the focus and continues straight into item design in the same turn without waiting.","The behaviour exists only in the transcript, not in the artifacts.",,chat
M3,M — Model Scaffolding,Re-scopes when the teacher redirects,"When the teacher names a different learning component than the one proposed, the model adopts the teacher's choice as the scope anchor, restates the new focus and its rationale, and scopes the items to it. Fail = the model proceeds with its original focus, or acknowledges the redirect but builds items scoped to the component it first proposed.",,lc-redirect,chat
O12,O — Output / Formatting,Figures state in text what they show,"Every figure in either file carries a text statement of what it depicts, in the terms the item is read in — an SVG <title> (with <desc> where a student would need more to work the item), reachable via role=""img"" and aria-labelledby. ""4 groups of 3 dots each"" passes; ""dice"" does not, and neither does an SVG with no accessible name. Where the answer turns on a property only the figure carries (which factor names the group count, which tick a point sits on), the stem names that property too. Passes vacuously if the check contains no figure.","R2 does not cover this: ""includes or describes a diagram"" passes an SVG with no accessible name. O13 grades the converse — figure text that gives the answer away.",,artifacts
P13,P — Pedagogy,Student-facing language is grade-level appropriate,"Every string a student reads in the student handout — item stems, answer choices, directions, and any figure <title> or <desc> — uses vocabulary and sentence structure a student at the target grade reads independently. Technical vocabulary is limited to terms this grade's own instruction teaches ('numerator' and 'equal parts' are fine in a grade 3 item); an above-grade word that has a plain equivalent fails — 'partitioned' where 'split into equal parts' says the same thing, 'determine' for 'find', 'sufficient' for 'enough'. Sentences sit in the grade's range: roughly 8 words or fewer at K-2, 12 at 3-5, 15 at 6-8, and below grade 6 a stem stacking more than one subordinate clause fails however short it is. Judge the student handout only — the teacher guide quotes the standard verbatim by design, so its adult wording is not evidence here. One above-grade word in a stem, choice, or figure description is enough to fail.","Distinct from P4, which asks whether reading demands are unrelated to the mathematics: a stem can be entirely on-topic and still be written above the grade. Distinct from P6, which applies the same grade-appropriateness bar to number values rather than to words. Scoped to the student handout, because the teacher guide quotes the standard verbatim by design under O1.",,artifacts
P14,P — Pedagogy,Learning goal and focus read as plain teacher language,"Judge two fields only: the teacher guide's Learning goal meta row and the Focus callout. Each is written as two or more sentences, each saying one thing. The learning goal's first sentence is a plain capability statement whose subject is the student — 'Students can locate a non-unit fraction on a number line by...' — rather than a statement about the check or its design ('Reveal whether a student can...', 'This check assesses whether...', 'Determine the extent to which...'). The Focus callout states plainly what students are being asked to do, in a teacher's words rather than the learning component's or the standard's own wording, while still naming any constraint the focus carries (number range, denominator set, operation, representation). In both fields a technical term appears as a short parenthetical or apposition after the plain phrase that carries the meaning — 'the total number of equal parts (denominator)' — rather than as the noun the sentence is built on. No sentence in either field stacks more than one interrupting aside (an em-dash pair, a parenthetical clause, or a 'rather than...' contrast), and none runs much past 35 words. Fail if either field is a single sentence carrying the whole explanation, opens in assessment-designer register, or leads with the component's or the standard's own wording. In chat, the Step 3 focus proposal states the focus in the same plain terms; a proposal whose first move is to quote the component's technical wording fails. This row grades register and sentence structure in those two fields only: the meta Standard row is verbatim adult standard language by design (O1) and is not evidence here, and the 'What to look for' and 'Progression & coherence context' callouts are the in-house model for this register rather than additional things to grade.","Judges two fields only: the Learning goal meta row and the Focus callout. Distinct from P5, which grades narrowness — a 50-word single-sentence goal can be fully specific and still fail here — and from O2, which grades presence. Scored on the chat as well as the files, because the Step 3 focus proposal carries the same register.",,both
O13,O — Output / Formatting,Figure text does not answer the item,"Every figure's <title> and <desc> stops at what a sighted student plainly sees: it does not state the property the item asks the student to determine, and it asserts nothing the picture itself does not carry. A description that performs the item's task fails — listing each point's distance from zero ('Point C is 3 jumps from 0') where the question is which point shows 3/4, or naming the tick a point sits on ('lines up with the 4th tick mark') where the answer is 4/6. A description that reports something the drawing has no referent for also fails — calling a coin 'one of the smaller coins in the jar' when a single coin is drawn. Stating the structure passes: '4 groups of 3 dots each', 'a number line from 0 to 1 split into 4 equal parts', together with whatever detail a student needs to work the item without seeing it. Judge every figure in both files. Passes vacuously if the check contains no figure.","The converse of O12: that row checks the figure text exists and is readable, and passes one that over-describes. Distinct from P13, which grades the reading level of these same strings rather than what they give away, and from R6, which grades the key against the choices rather than against the figure text.",,artifacts
